Type                                  Module                      Label             Process           
------------------------------------------------------------------------------------------------------
GlobalObjectMapRecord                 "hltGtStage2ObjectMap"      ""                "HLT"             
edm::TriggerResults                   "TriggerResults"            ""                "HLT"             
trigger::TriggerEvent                 "hltTriggerSummaryAOD"      ""                "HLT"             
FEDRawDataCollection                  "rawDataCollector"          ""                "LHC"             
edm::Association<vector<reco::Vertex> >    "firstStepPrimaryVertices"   ""                "RESELECT"        
edm::RangeMap<CSCDetId,edm::OwnVector<CSCSegment,edm::ClonePolicy<CSCSegment> >,edm::ClonePolicy<CSCSegment> >    "slimmedMuons"              ""                "RESELECT"        
edm::RangeMap<DTChamberId,edm::OwnVector<DTRecSegment4D,edm::ClonePolicy<DTRecSegment4D> >,edm::ClonePolicy<DTRecSegment4D> >    "slimmedMuons"              ""                "RESELECT"        
edm::RefVector<vector<pat::Muon>,pat::Muon,edm::refhelper::FindUsingAdvance<vector<pat::Muon>,pat::Muon> >    "selectedMuonsForEmbedding"   ""                "RESELECT"        
edm::ValueMap<float>                  "firstStepPrimaryVertices"   ""                "RESELECT"        
edm::ValueMap<int>                    "firstStepPrimaryVertices"   ""                "RESELECT"        
reco::BeamSpot                        "offlineBeamSpot"           ""                "RESELECT"        
vector<l1extra::L1EmParticle>         "l1extraParticles"          "Isolated"        "RESELECT"        
vector<l1extra::L1EmParticle>         "l1extraParticles"          "NonIsolated"     "RESELECT"        
vector<l1extra::L1EtMissParticle>     "l1extraParticles"          "MET"             "RESELECT"        
vector<l1extra::L1EtMissParticle>     "l1extraParticles"          "MHT"             "RESELECT"        
vector<l1extra::L1HFRings>            "l1extraParticles"          ""                "RESELECT"        
vector<l1extra::L1JetParticle>        "l1extraParticles"          "Central"         "RESELECT"        
vector<l1extra::L1JetParticle>        "l1extraParticles"          "Forward"         "RESELECT"        
vector<l1extra::L1JetParticle>        "l1extraParticles"          "IsoTau"          "RESELECT"        
vector<l1extra::L1JetParticle>        "l1extraParticles"          "Tau"             "RESELECT"        
vector<l1extra::L1MuonParticle>       "l1extraParticles"          ""                "RESELECT"        
vector<pat::Muon>                     "patMuonsAfterID"           ""                "RESELECT"        
vector<pat::Muon>                     "slimmedMuons"              ""                "RESELECT"        
vector<reco::Vertex>                  "firstStepPrimaryVertices"   ""                "RESELECT"        
vector<reco::Vertex>                  "offlineSlimmedPrimaryVertices"   ""                "RESELECT"        
BXVector<GlobalAlgBlk>                "gtStage2Digis"             ""                "LHEembeddingCLEAN"   
BXVector<GlobalExtBlk>                "gtStage2Digis"             ""                "LHEembeddingCLEAN"   
BXVector<l1t::CaloTower>              "caloStage2Digis"           "CaloTower"       "LHEembeddingCLEAN"   
BXVector<l1t::EGamma>                 "caloStage2Digis"           "EGamma"          "LHEembeddingCLEAN"   
BXVector<l1t::EGamma>                 "gtStage2Digis"             "EGamma"          "LHEembeddingCLEAN"   
BXVector<l1t::EGamma>                 "gtStage2Digis"             "EGamma2"         "LHEembeddingCLEAN"   
BXVector<l1t::EGamma>                 "gtStage2Digis"             "EGamma3"         "LHEembeddingCLEAN"   
BXVector<l1t::EGamma>                 "gtStage2Digis"             "EGamma4"         "LHEembeddingCLEAN"   
BXVector<l1t::EGamma>                 "gtStage2Digis"             "EGamma5"         "LHEembeddingCLEAN"   
BXVector<l1t::EGamma>                 "gtStage2Digis"             "EGamma6"         "LHEembeddingCLEAN"   
BXVector<l1t::EGamma>                 "caloStage2Digis"           "MP"              "LHEembeddingCLEAN"   
BXVector<l1t::EtSum>                  "caloStage2Digis"           "EtSum"           "LHEembeddingCLEAN"   
BXVector<l1t::EtSum>                  "gtStage2Digis"             "EtSum"           "LHEembeddingCLEAN"   
BXVector<l1t::EtSum>                  "gtStage2Digis"             "EtSum2"          "LHEembeddingCLEAN"   
BXVector<l1t::EtSum>                  "gtStage2Digis"             "EtSum3"          "LHEembeddingCLEAN"   
BXVector<l1t::EtSum>                  "gtStage2Digis"             "EtSum4"          "LHEembeddingCLEAN"   
BXVector<l1t::EtSum>                  "gtStage2Digis"             "EtSum5"          "LHEembeddingCLEAN"   
BXVector<l1t::EtSum>                  "gtStage2Digis"             "EtSum6"          "LHEembeddingCLEAN"   
BXVector<l1t::EtSum>                  "caloStage2Digis"           "MP"              "LHEembeddingCLEAN"   
BXVector<l1t::Jet>                    "caloStage2Digis"           "Jet"             "LHEembeddingCLEAN"   
BXVector<l1t::Jet>                    "gtStage2Digis"             "Jet"             "LHEembeddingCLEAN"   
BXVector<l1t::Jet>                    "gtStage2Digis"             "Jet2"            "LHEembeddingCLEAN"   
BXVector<l1t::Jet>                    "gtStage2Digis"             "Jet3"            "LHEembeddingCLEAN"   
BXVector<l1t::Jet>                    "gtStage2Digis"             "Jet4"            "LHEembeddingCLEAN"   
BXVector<l1t::Jet>                    "gtStage2Digis"             "Jet5"            "LHEembeddingCLEAN"   
BXVector<l1t::Jet>                    "gtStage2Digis"             "Jet6"            "LHEembeddingCLEAN"   
BXVector<l1t::Jet>                    "caloStage2Digis"           "MP"              "LHEembeddingCLEAN"   
BXVector<l1t::Muon>                   "gmtStage2Digis"            "Muon"            "LHEembeddingCLEAN"   
BXVector<l1t::Muon>                   "gtStage2Digis"             "Muon"            "LHEembeddingCLEAN"   
BXVector<l1t::Muon>                   "gtStage2Digis"             "Muon2"           "LHEembeddingCLEAN"   
BXVector<l1t::Muon>                   "gtStage2Digis"             "Muon3"           "LHEembeddingCLEAN"   
BXVector<l1t::Muon>                   "gtStage2Digis"             "Muon4"           "LHEembeddingCLEAN"   
BXVector<l1t::Muon>                   "gtStage2Digis"             "Muon5"           "LHEembeddingCLEAN"   
BXVector<l1t::Muon>                   "gtStage2Digis"             "Muon6"           "LHEembeddingCLEAN"   
BXVector<l1t::Muon>                   "gmtStage2Digis"            "MuonCopy1"       "LHEembeddingCLEAN"   
BXVector<l1t::Muon>                   "gmtStage2Digis"            "MuonCopy2"       "LHEembeddingCLEAN"   
BXVector<l1t::Muon>                   "gmtStage2Digis"            "MuonCopy3"       "LHEembeddingCLEAN"   
BXVector<l1t::Muon>                   "gmtStage2Digis"            "MuonCopy4"       "LHEembeddingCLEAN"   
BXVector<l1t::Muon>                   "gmtStage2Digis"            "MuonCopy5"       "LHEembeddingCLEAN"   
BXVector<l1t::Muon>                   "gmtStage2Digis"            "imdMuonsBMTF"    "LHEembeddingCLEAN"   
BXVector<l1t::Muon>                   "gmtStage2Digis"            "imdMuonsEMTFNeg"   "LHEembeddingCLEAN"   
BXVector<l1t::Muon>                   "gmtStage2Digis"            "imdMuonsEMTFPos"   "LHEembeddingCLEAN"   
BXVector<l1t::Muon>                   "gmtStage2Digis"            "imdMuonsOMTFNeg"   "LHEembeddingCLEAN"   
BXVector<l1t::Muon>                   "gmtStage2Digis"            "imdMuonsOMTFPos"   "LHEembeddingCLEAN"   
BXVector<l1t::RegionalMuonCand>       "gmtStage2Digis"            "BMTF"            "LHEembeddingCLEAN"   
BXVector<l1t::RegionalMuonCand>       "gmtStage2Digis"            "EMTF"            "LHEembeddingCLEAN"   
BXVector<l1t::RegionalMuonCand>       "gmtStage2Digis"            "OMTF"            "LHEembeddingCLEAN"   
